Name;Team;Competition;Nationality;Age;Primary Position;Secondary Position;Minutes Played;finishing;dribbling;passing;creation;defending;pressing;overall;overall_global;overall_league_adjusted
Ricardo Quaresma;Vitória Guimarães;Primeira Liga;Portugal;37;Right Wing;Left Wing;1750,2499;25,20216534;43,10088293;29,8078531;27,91216112;20,58644274;28,39616711;53,57885262;43,57030764;41,26704087
Nill De Pauw;Antwerp;Jupiler Pro League;Belgium;31;Right Wing Back;Right Wing;1361,9335;17,53856454;23,77933169;42,81228335;13,67008879;43,25380694;30,23222545;39,08301231;43,5340773;32,06989783
Leonardo Ruiz;UD Logroñés;La Liga 2;Colombia;25;Left Centre Forward;Centre Forward;1719,4999;30,18645771;31,60909207;30,6057023;4,285167856;33,503737;43,65520372;46,96234251;43,48146477;32,03114018
Walterson Silva;Moreirense;Primeira Liga;Brazil;26;Left Midfielder;Left Wing;2485,3;5,948545307;38,34270018;36,86929507;13,182688;40,08259675;37,8428145;40,43790231;43,46440202;41,16673376
Kieffer Moore;Cardiff City;Championship;England;28;Centre Forward;Left Centre Forward;3655,433;41,71494606;31,34856958;21,58939983;4,44130646;34,06792398;28,91270375;49,76502477;43,44756271;38,86462993
Guido Carrillo;Elche;La Liga;Argentina;30;Right Centre Forward;Centre Forward;1073,7833;30,00011374;21,61537542;35,83057833;19,30567942;28,51166447;35,80033298;44,29183887;43,43390365;45,70871959
Youssouph Badji;Club Brugge;Jupiler Pro League;Senegal;19;Centre Forward;Left Centre Forward;1099,6833;36,50833874;26,58088988;31,90586843;18,28087458;22,90588549;65,74819689;52,87357818;43,42517587;31,98967429
Tammy Abraham;Chelsea;Premier League;England;23;Centre Forward;Left Centre Forward;1130,4335;50,40986602;19,69201347;26,67933052;12,37990837;16,65359125;60,18935563;53,11879684;43,4165287;45,69043464
Sergio Moreno;Mirandés;La Liga 2;Spain;22;Centre Forward;Centre Attacking Midfielder;1094,4167;24,7097608;30,89334147;24,86494528;7,804468939;15,00686237;58,8564646;43,56918415;43,33703167;31,92474181
Stéphane Bahoken;Angers;Ligue 1;Cameroon;29;Centre Forward;Right Centre Forward;1712,1501;29,45767097;28,25866458;29,19187028;13,24395138;41,39496549;36,87128745;46,08042618;43,28667425;40,99840125
